"","PMN_1","Necrosis_1","Bacteria_1","Alveolar.Hemorrhage_1","Edema_1","Hyaline.membranes_1","AT.2.pneumocyte.hyperplasia_1","Lymphoplasmacytic_1","Multinucleated_1","Fibrosis_1","vasculitis_1","Fibrin_alveoli"
"3063",0,0,0,0,0,0,0,0,0,0,0,0
"3064",0,0,0,0,0,0,0,0,0,0,0,0
"3065",0,0,0,0,0,0,0,0,0,0,0,0
"3066",0,0,0,0,0,0,0,0,0,0,0,0
"3067",0,0,0,0,0,0,0,0,0,0,0,0
"3068",2.5,1,0,1,3,0.5,0,2,0,0,0,1
"3069",2.5,0.5,0,0.5,3,0,0.5,3,0.5,0,0,1
"3070",2,0.5,0,0,1.5,0,0,2,0.5,0,0,1
"3071",1.5,0.5,0,0.5,1,0.5,0,2.5,0.5,0,0,1
"3072",1.5,0.5,0,0.5,1,0.5,0,2.5,0,0,0,1
"3073",1,0,0,0,1.5,0.5,0,2.5,0.5,0,0,1
"3074",3,0.5,1.5,0.5,2.5,0,0,0.5,0,0,0,1
"3076",3,2.5,3,0.5,2.5,0,0,0.5,0,0,0,3
"3077",3,2,3,0.5,2.5,0,0,0.5,0,0,0,2
"3078",3,1,2.5,0,2.5,0,0.5,0.5,0,0,0,1
"3081",0,0,0,0,0,0,0,0,0,0,0,0
"3082",2.5,0,0,0.5,1.5,0.5,0,2,0.5,0,0,1
"3084",2.5,2,2.5,0.5,2,0,0,0.5,0,0,0,3
"3085",3,0.5,2,0.5,1,0,0,0.5,0,0,0,0
"3086",2.5,1.5,2.5,0,2,0,0,0.5,0,0,0,2
"3087",0,0,0,0,0,0,0,0,0,0,0,0
"3088",0,0,0,0,0,0,0,0,0,0,0,0
"3089",0,0,0,0,0,0,0,0,0,0,0,0
"3090",0,0,0,0,0,0,0,0,0,0,0,0
"3091",0,0,0,0,0,0,0,0,0,0,0,0
"3092",1,0.5,0,0,1.5,0,0,2,0.5,0,0,0
"3093",1,0,0,0,1,0,0,2.5,0.5,0,0,0
"3094",1,0,0,0.5,1.5,0.5,0,2.5,0.5,0,0,1
"3095",3,2.5,3,0.5,2.5,0,0,0.5,0,0,0,3
"3096",3,1.5,3,0.5,3,0,0,0.5,0,0,0,3
"3097",3,1.5,3,0,2.5,0,0,1,0,0,0,1
"3098",3,0.5,2.5,0,2.5,0,0,1,0,0,0,1
"3099",3,0.5,2.5,0,2.5,0,0,0.5,0,0,0,1
"3100",3,2.5,2.5,2,3,0,0,0.5,0,0,0,3
"3101",3,0.5,2.5,0,2.5,0,0,1,0,0,0,1
"3258",0,0,0,0,1,0,0,3,0,0,0,0
"3259",3,2.5,3,0.5,3,0.5,0,1.5,0,0.5,0,3
"3260",0,0,0,0,0,0,0,1,0,0,0,0
"3261",0,0,0,0,0,0,0,1.5,0,0,0,0
"3262",2.5,0.5,2.5,0,2,0,0,1,0,0,0,1
"3263",0,0,0,0,0,0,0,1.5,0,0,0,0
"3264",3,0.5,2,0.5,2.5,0,0,1,0,0,0,1
"3265",0,0,0,0,0,0,0,1.5,0,0,0,0
"3266",3,1.5,2.5,0.5,2.5,0,0,1,0,0,0,2
"3267",3,0.5,2.5,0.5,2.5,0.5,0,1,0,0,0,1
"3268",0.5,0,0,0.5,1,0,0.5,2.5,0,1.5,0,0
"3269",0.5,0,0,0,1,0,0.5,3,0,1,0,0
"3270",0.5,0,0,0,0.5,0,0,2,0,0.5,0,0
"3271",0,0,0,0,0,0,0,1,0,0,0,0
"3272",3,1.5,3,0.5,2.5,1,0,1,0,0,0,2
"3273",3,0,2.5,0,2,0,0,1,0,0,0,0
"3274",3,0,2.5,0.5,2,0,0,1,0,0,0,0
"3275",3,1.5,2.5,0.5,3,0,0,1,0,0,0,3
"3276",0,0,0,0,0,0,0,0,0,0,0,0
"3277",0,0,0,0,0,0,0,0.5,0,0,0,0
"3278",0.5,0,0,0,0,0.5,0,2,0,0,0,1
"3279",0.5,0,0,0.5,0.5,0,0,2.5,0,0,0,0
"3280",0.5,0,0,0,1,0.5,0,2.5,0,0,0,1
"3281",3,0.5,2.5,0,1.5,0,0,1,0,0,0,1
"4091",3,2,0.5,1,3,0,0,0.5,0,0.5,0,3
"4092",0,0,0,0,0,0,0,0,0,0,0,0
"4093",3,2,1,1,3,0,0,0,0,0,0,3
"4094",3,1,1,1,2,0,0.5,0.5,0,0.5,0,2
"4095",3,1,1,0,2,0,0.5,0.5,0,0,0,2
"4096",0,0,0,0,0,0,0,0,0,0,0,0
"4097",0,0,0,0,0,0,0,0,0,0,0,0
"4098",3,2,1,0.5,2.5,0,0,0,0,0,0,3
"4099",3,2,0.5,0.5,2.5,0,0,0,0,0,0,3
"4100",0,0,0,0,0,0,0,0,0,0,0,0
"4101",3,1.5,3,0.5,2.5,0,0,0,0,0,0,3
"4559",2,0,0.5,0,0.5,0,0,0,0,0,0,0
"4560",3,1,2.5,0,2,0,0,0,0,0,2,2
"4561",1.5,0.5,1.5,0,0.5,0,0,0,0,0,0,0
"4562",2,0.5,0.5,0,0,0,0,0.5,0,0,0,0
"4563",2.5,1,2.5,0.5,2,0,0,0.5,0,0,2,0
"4564",2,0.5,1,0,0.5,0,0,0.5,0,0,0,0
"4565",2,1,3,0,2,0,0,0,0,0,1.5,0
"4566",1.5,1,1,0,0.5,0,0,0.5,0,0,0.5,1
"4652",2.5,0,0.5,0,0,0,0,0,0,0,0,0
"4653",3,2.5,2.5,0.5,3,0,0,0,0,0,0,3
"4654",3,1.5,2.5,0,2,0,0,0,0,0,0,1
"4655",3,1.5,0.5,0,2,0,0,0,0,0,0,2
"4656",3,2,2.5,0,2.5,0,0,0,0,0,0,1
"4657",3,2.5,3,2,3,0,0,0,0,0,0,3
"4658",3,1.5,1.5,0.5,2.5,0,0,0,0,0,0,2
"4936",2,0,0,0,0,0,0,1.5,0,0,0,0
"4937",0,0,0,0,0,0,0,1,0,0,0,0
"4938",0,0,0,1,0,0,0,1.5,0,0,0,0
"4939",0.5,0,0,0,0.5,0,0.5,1.5,0,0,0,0
"4940",0.5,0,0,0,0,0,0.5,2,0.5,0,0,0
"4941",0.5,0,0,0,0,0,0,1.5,0,0,0,0
"5084",0.5,0,0,0,0,0,0,1.5,0,0,0.5,0
"5085",0.5,0,0,0,1.5,2,0,1.5,0,0,0,2
"5086",1,0,0,0,1.5,2,0,2,0,0,0,2
"5087",0,0,0,0,0,0,0,0.5,0,0,0,0
"5088",0,0,0,0.5,0.5,0,0,0.5,0,0,0,0
"5089",0,0,0,0.5,0.5,0,0,1,0,0,0,0
"5090",0,0,0,0,0.5,0,0,1,0,0,0,0
"5091",0,0,0,0,0,0,0,1.5,0,0,0,0
"5092",0.5,0,0,0,0,0.5,0,1.5,0,0,0,1
